Taxon_ID,MartDatasets,Scientific_name,OrgDb,Common_name,kegg,Reference_Taxon_ID,Reference_Scientific_name,Ensembl_name,Ensembl_division,Ensembl_release,Assembly,Genome_URL,GTF_URL,Pep_URL,Reference_status,MartDatasets_status
8022,omykiss_gene_ensembl,Oncorhynchus mykiss,org.Omykiss.eg.db,Rainbow_trout,omy,8022,Oncorhynchus mykiss,oncorhynchus_mykiss,EnsemblMain,116,USDA_OmykA_1.1,https://ftp.ensembl.org/pub/release-116/fasta/oncorhynchus_mykiss/dna/Oncorhynchus_mykiss.USDA_OmykA_1.1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/oncorhynchus_mykiss/Oncorhynchus_mykiss.USDA_OmykA_1.1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/oncorhynchus_mykiss/pep/Oncorhynchus_mykiss.USDA_OmykA_1.1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
74940,otshawytscha_gene_ensembl,Oncorhynchus tshawytscha,org.Otshawytscha.eg.db,Chinook_salmon,otw,74940,Oncorhynchus tshawytscha,oncorhynchus_tshawytscha,EnsemblMain,116,Otsh_v2.0,https://ftp.ensembl.org/pub/release-116/fasta/oncorhynchus_tshawytscha/dna/Oncorhynchus_tshawytscha.Otsh_v2.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/oncorhynchus_tshawytscha/Oncorhynchus_tshawytscha.Otsh_v2.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/oncorhynchus_tshawytscha/pep/Oncorhynchus_tshawytscha.Otsh_v2.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
8128,oniloticus_gene_ensembl,Oreochromis niloticus,org.Oniloticus.eg.db,Nile_tilapia,onl,8128,Oreochromis niloticus,oreochromis_niloticus,EnsemblMain,116,O_niloticus_UMD_NMBU,https://ftp.ensembl.org/pub/release-116/fasta/oreochromis_niloticus/dna/Oreochromis_niloticus.O_niloticus_UMD_NMBU.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/oreochromis_niloticus/Oreochromis_niloticus.O_niloticus_UMD_NMBU.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/oreochromis_niloticus/pep/Oreochromis_niloticus.O_niloticus_UMD_NMBU.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
9258,oanatinus_gene_ensembl,Ornithorhynchus anatinus,org.Oanatinus.eg.db,Platypus,oaa,9258,Ornithorhynchus anatinus,ornithorhynchus_anatinus,EnsemblMain,116,mOrnAna1.p.v1,https://ftp.ensembl.org/pub/release-116/fasta/ornithorhynchus_anatinus/dna/Ornithorhynchus_anatinus.mOrnAna1.p.v1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/ornithorhynchus_anatinus/Ornithorhynchus_anatinus.mOrnAna1.p.v1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/ornithorhynchus_anatinus/pep/Ornithorhynchus_anatinus.mOrnAna1.p.v1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
9986,ocuniculus_gene_ensembl,Oryctolagus cuniculus,org.Ocuniculus.eg.db,Rabbit,ocu,9986,Oryctolagus cuniculus,oryctolagus_cuniculus,EnsemblMain,116,OryCun2.0,https://ftp.ensembl.org/pub/release-116/fasta/oryctolagus_cuniculus/dna/Oryctolagus_cuniculus.OryCun2.0.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/oryctolagus_cuniculus/Oryctolagus_cuniculus.OryCun2.0.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/oryctolagus_cuniculus/pep/Oryctolagus_cuniculus.OryCun2.0.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
123683,ojavanicus_gene_ensembl,Oryzias javanicus,org.Ojavanicus.eg.db,Javanese_ricefish,,123683,Oryzias javanicus,oryzias_javanicus,EnsemblMain,116,OJAV_1.1,https://ftp.ensembl.org/pub/release-116/fasta/oryzias_javanicus/dna/Oryzias_javanicus.OJAV_1.1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/oryzias_javanicus/Oryzias_javanicus.OJAV_1.1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/oryzias_javanicus/pep/Oryzias_javanicus.OJAV_1.1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
8090,olatipes_gene_ensembl,Oryzias latipes,org.Olatipes.eg.db,Japanese_medaka_HdrR,ola,8090,Oryzias latipes,oryzias_latipes,EnsemblMain,116,ASM223467v1,https://ftp.ensembl.org/pub/release-116/fasta/oryzias_latipes/dna/Oryzias_latipes.ASM223467v1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/oryzias_latipes/Oryzias_latipes.ASM223467v1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/oryzias_latipes/pep/Oryzias_latipes.ASM223467v1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
30732,omelastigma_gene_ensembl,Oryzias melastigma,org.Omelastigma.eg.db,Indian_medaka,oml,30732,Oryzias melastigma,oryzias_melastigma,EnsemblMain,116,Om_v0.7.RACA,https://ftp.ensembl.org/pub/release-116/fasta/oryzias_melastigma/dna/Oryzias_melastigma.Om_v0.7.RACA.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/oryzias_melastigma/Oryzias_melastigma.Om_v0.7.RACA.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/oryzias_melastigma/pep/Oryzias_melastigma.Om_v0.7.RACA.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
183150,osinensis_gene_ensembl,Oryzias sinensis,org.Osinensis.eg.db,Chinese_medaka,,183150,Oryzias sinensis,oryzias_sinensis,EnsemblMain,116,ASM858656v1,https://ftp.ensembl.org/pub/release-116/fasta/oryzias_sinensis/dna/Oryzias_sinensis.ASM858656v1.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/oryzias_sinensis/Oryzias_sinensis.ASM858656v1.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/oryzias_sinensis/pep/Oryzias_sinensis.ASM858656v1.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
30611,ogarnettii_gene_ensembl,Otolemur garnettii,org.Ogarnettii.eg.db,Small_eared_galago,oga,30611,Otolemur garnettii,otolemur_garnettii,EnsemblMain,116,OtoGar3,https://ftp.ensembl.org/pub/release-116/fasta/otolemur_garnettii/dna/Otolemur_garnettii.OtoGar3.dna.toplevel.fa.gz,https://ftp.ensembl.org/pub/release-116/gtf/otolemur_garnettii/Otolemur_garnettii.OtoGar3.116.gtf.gz,https://ftp.ensembl.org/pub/release-116/fasta/otolemur_garnettii/pep/Otolemur_garnettii.OtoGar3.pep.all.fa.gz,COMPLETE,VERIFIED_EXISTING
