"","MOR01_LIVER_RAW","MOR02_LIVER_RAW","MOR03_LIVER_RAW","MOR04_LIVER_RAW","MOR13_LIVER_RAW","MOR14_LIVER_RAW","MOR01_TEL_RAW","MOR02_TEL_RAW","MOR03_TEL_RAW","MOR04_TEL_RAW","MOR13_TEL_RAW","MOR14_TEL_RAW"
"Trichoderma asperellum",0,0,248.392554619257,0,11.8242280308984,0,0,0,0,0,0,0
"Purpureocillium takamizusanense",0,0,126.607855509816,0,0,0,0,0,0,0,0,0
"Metarhizium brunneum",0,0,27.7331493021501,0,0,0,0,0,0,0,0,0
"Colletotrichum lupini",0,0,63.9068223049546,0,0,0,0,0,0,0,0,0
"Aspergillus fumigatus",0,0,300.241485923277,0,0,0,0,0,0,0,0,0
"Candidozyma auris",0,0,53.0547204041132,0,11.2330166293535,26.2778415475411,0,0,0,0,0,20.4090256390483
"Hemiselmis andersenii",0,0,114.549964508881,0,0,0,0,0,0,0,0,0
"Bordetella petrii",0,0,1425.2427163105,0,0,0,0,0,0,0,0,0
"Bordetella pertussis",0,0,3805.47039989503,0,0,0,0,0,0,0,0,0
"Bordetella genomosp. 13",0,0,525.724047640758,0,0,0,0,0,0,0,0,0
"Achromobacter deleyi",0,0,475.080905436832,0,0,0,0,0,0,0,0,0
"Achromobacter aegrifaciens",0,0,389.469879330195,0,0,0,0,0,0,0,0,0
"Achromobacter anxifer",0,0,149.517848411592,0,0,0,0,0,0,0,0,0
"Candidatus Symbiobacter mobilis",0,0,45.8199858035523,0,0,0,0,0,0,0,0,0
"Rhodoferax sp. BAB1",0,0,94.0515498072917,0,0,0,0,0,0,0,0,0
"Tundrisphaera macrotermitis",0,0,80.7878697062634,0,0,0,0,0,0,0,0,0
"Tundrisphaera lichenicola",0,0,25.3215711019631,0,0,0,0,0,0,0,0,0
"Gemmata obscuriglobus",0,0,27.7331493021501,0,0,0,0,0,0,0,0,0
"Fontisphaera persica",0,0,14.4694692011218,0,0,0,0,0,0,0,0,0
"Methylacidimicrobium sp. AP8",0,0,22.9099929017762,0,0,0,0,0,0,0,0,0
"Ornithinimicrobium flavum",0,0,340.032526226362,0,0,0,0,0,0,0,0,0
"Brachybacterium saurashtrense",0,0,178.456786813835,0,0,0,0,0,0,0,0,0
"Nocardioides sp. HDW12B",0,0,110.9325972086,0,0,0,0,0,0,0,0,0
"Nocardioides panacisoli",0,0,101.286284407853,0,0,0,0,0,0,0,0,0
"Rubrobacter xylanophilus",0,0,33.7620948026175,0,0,0,0,0,0,0,0,0
"Brasilonema sennae",0,0,188.103099614583,0,0,0,0,0,0,0,0,0
"Halotia branconii",0,0,157.958372112246,0,0,0,0,0,0,0,0,0
"Methanofollis aquaemaris",0,0,15.6752583012153,0,0,0,0,0,0,0,0,0
"Plasmodium relictum",0,0,0,247.846972815678,0,0,0,0,0,0,0,0
"Trichomonas vaginalis",0,0,0,34.555587556032,0,0,0,0,0,0,0,0
"Klebsiella pneumoniae",0,0,0,0,0,1332.57854247753,0,0,0,954.664610022353,0,350.828567314274
"Sphaerotilus sulfidivorans",0,0,0,0,0,0,0,0,0,119.333076252794,0,0
"Kwoniella bestiolae",0,0,0,0,12.4154394324433,0,0,0,0,73.5887303558897,0,0
"Xanthomonas phage vB_XooS_NR08",0,0,0,0,0,0,0,0,0,41.766576688478,0,0
"Gorganvirus isfahan",0,0,0,0,0,0,0,0,0,27.8443844589853,0,0
"Streptomyces nigra",0,0,0,0,12.4154394324433,0,0,0,0,0,0,0
"Vibrio parahaemolyticus",0,0,0,0,306.838717401814,0,0,0,0,0,160.700826477103,0
"uncultured Acetobacteroides sp.",0,0,0,0,5.61650831467675,0,0,0,0,0,0,0
"Kwoniella botswanensis",0,0,0,0,43.4540380135517,137.812680115993,0,0,0,0,25.5983617397155,9.81699967447895
"Kwoniella dejecticola",0,0,0,0,20.1011876525273,0,0,0,0,0,0,5.94186822402673
"Kwoniella mangrovensis",0,0,0,0,18.623159148665,0,0,0,0,0,0,19.1173151555643
"Cryptococcus bacillisporus",0,0,0,0,14.4846793378506,0,0,0,0,0,0,0
"Cryptococcus gattii",0,0,0,0,71.8321852877079,0,0,0,0,0,83.9057412579563,0
"Podospora pseudocomata",0,0,0,0,15.6671021409404,0,0,0,0,0,0,0
"Brettanomyces bruxellensis",0,0,0,0,80.9959620116542,20.4383212036431,0,0,0,0,77.7431726909877,10.8503680612662
"Zygotorulaspora mrakii",0,0,0,0,7.98135392085644,0,0,0,0,0,0,0
"Plasmodium vivax",0,0,0,0,34.8814726911504,0,0,0,0,0,10.9030059261751,0
"Giardia duodenalis",0,0,0,0,31.9254156834258,15.7667049285246,0,0,0,0,17.5396182290643,14.9838416084152
"Guillardia theta",0,0,0,0,21.8748218571621,0,0,0,0,0,0,10.8503680612662
"Buchnera aphidicola",0,0,0,0,0,20.4383212036431,0,0,0,0,0,0
"Candidatus Kurthia intestinigallinarum",0,0,0,0,0,6.42347237828782,0,0,0,0,0,0
"Nakamurella antarctica",0,0,0,0,0,13.4308967909654,0,0,0,0,0,0
"Penicillium digitatum",0,0,0,0,0,12.2629927221858,0,0,0,0,0,0
"Streptomyces cinereoruber",0,0,0,0,0,0,0,0,0,0,0,12.9171048348407
