"Name","MOR01_LIVER_RAW","MOR02_LIVER_RAW","MOR03_LIVER_RAW","MOR04_LIVER_RAW","MOR13_LIVER_RAW","MOR14_LIVER_RAW","MOR01_TEL_RAW","MOR02_TEL_RAW","MOR03_TEL_RAW","MOR04_TEL_RAW","MOR13_TEL_RAW","MOR14_TEL_RAW","baseMean.Liver_vs_Telencephalon","log2FoldChange.Liver_vs_Telencephalon","lfcSE.Liver_vs_Telencephalon","stat.Liver_vs_Telencephalon","pvalue.Liver_vs_Telencephalon","padj.Liver_vs_Telencephalon","MOR01_LIVER_RAW.norm","MOR02_LIVER_RAW.norm","MOR03_LIVER_RAW.norm","MOR04_LIVER_RAW.norm","MOR13_LIVER_RAW.norm","MOR14_LIVER_RAW.norm","MOR01_TEL_RAW.norm","MOR02_TEL_RAW.norm","MOR03_TEL_RAW.norm","MOR04_TEL_RAW.norm","MOR13_TEL_RAW.norm","MOR14_TEL_RAW.norm","MOR01_LIVER_RAW.normtrans","MOR02_LIVER_RAW.normtrans","MOR03_LIVER_RAW.normtrans","MOR04_LIVER_RAW.normtrans","MOR13_LIVER_RAW.normtrans","MOR14_LIVER_RAW.normtrans","MOR01_TEL_RAW.normtrans","MOR02_TEL_RAW.normtrans","MOR03_TEL_RAW.normtrans","MOR04_TEL_RAW.normtrans","MOR13_TEL_RAW.normtrans","MOR14_TEL_RAW.normtrans"
"Bordetella petrii",0,0,1182,0,0,0,0,0,0,0,0,0,118.770226359208,30,3.06863481136108,9.77633437805316,1.42270055846553e-22,6.18874742932505e-21,0,0,1425.2427163105,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,10.4770672224274,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Borreliella burgdorferi",0,0,0,0,0,0,108,0,0,333,0,0,79.5271140696401,-28.3386307474383,3.03218624653001,-9.34594000611559,9.1076814959718e-21,1.98092072537387e-19,0,0,0,0,0,0,292.026795632674,0,0,662.298573203008,0,0,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,8.19032443500304,-4.74853319525648,-4.74853319525648,9.37149999528114,-4.74853319525648,-4.74853319525648
"Botrytis cinerea",0,0,0,0,0,0,0,102,0,0,0,0,2.34502423774366,-2.9198289224077,3.0729289142046,-0.950177828361341,0.342021902438005,0.457783161724714,0,0,0,0,0,0,0,28.1402908529239,0,0,0,0,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.81837218276069,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Brachybacterium saurashtrense",0,0,148,0,0,0,0,0,0,0,0,0,14.871398901153,26.0336550124935,3.07181231835974,8.47501484934301,2.35049553343124e-17,1.70410926173765e-16,0,0,178.456786813835,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,7.48003224983342,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Brasilonema sennae",0,0,156,0,0,0,0,0,0,0,0,0,15.6752583012153,26.1394593328392,3.07168442007106,8.50981277960659,1.7421442442735e-17,1.37787772047086e-16,0,0,188.103099614583,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,7.55595027676715,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Brettanomyces bruxellensis",0,0,0,0,274,35,0,0,0,0,164,42,15.8356519972959,-0.843108189864952,2.74879042858016,-0.306719705183361,0.759056729712643,0.824391202808361,0,0,0,0,80.9959620116542,20.4383212036431,0,0,0,0,77.7431726909877,10.8503680612662,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.34110239510797,4.35844231532545,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,6.28202376470426,3.44951415603914
"Candidatus Symbiobacter mobilis",0,0,38,0,0,0,0,0,0,0,0,0,3.81833215029603,5.39818802633295,3.01704835058911,1.78922821216269,0.0735780699089522,0.136197703874018,0,0,45.8199858035523,0,0,0,0,0,0,0,0,0,-4.74853319525648,-4.74853319525648,5.52024486158636,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Candidozyma auris",0,0,44,0,38,45,0,0,0,0,0,79,9.24788368500468,1.31488300647791,2.9606843364288,0.444114554969385,0.656959763876525,0.755048306569311,0,0,53.0547204041132,0,11.2330166293535,26.2778415475411,0,0,0,0,0,20.4090256390483,-4.74853319525648,-4.74853319525648,5.73143024412731,-4.74853319525648,3.49918197242999,4.71985096153946,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,4.35638042158897
"Cercospora beticola",0,0,47,0,0,0,0,3101,0,0,0,0,76.016008889514,4.02927744073106,2.99202682617078,1.34667156239631,0.17808603497743,0.271815527070814,0,0,56.6720877043937,0,0,0,0,855.520018969774,0,0,0,0,-4.74853319525648,-4.74853319525648,5.82645860186956,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,9.74078326067342,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648
"Coccidioides posadasii",0,0,0,0,45,0,0,238,0,0,0,30,7.22609984104063,-4.01500991833603,2.9745982845075,-1.34976542521633,0.17709123855795,0.271815527070814,0,0,0,0,13.3022565347607,0,0,65.6606786568224,0,0,0,7.75026290090443,-4.74853319525648,-4.74853319525648,-4.74853319525648,-4.74853319525648,3.74163461295534,-4.74853319525648,-4.74853319525648,6.03859110710554,-4.74853319525648,-4.74853319525648,-4.74853319525648,2.96799618308089
