Taxon_ID	Scientific_name	Reference_Taxon_ID	Reference_Scientific_name	download_status	override_used	Ensembl_division	Ensembl_release	Assembly	MartDatasets_old	MartDatasets_verified	MartDatasets_final	MartDatasets_status	Genome_URL	GTF_URL	Pep_URL	row_status	notes
158456	Betta splendens	158456	Betta splendens	COMPLETE	NO	EnsemblMain	116	fBetSpl5.2	bsplendens_gene_ensembl	bsplendens_gene_ensembl	bsplendens_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/betta_splendens/dna/Betta_splendens.fBetSpl5.2.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/betta_splendens/Betta_splendens.fBetSpl5.2.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/betta_splendens/pep/Betta_splendens.fBetSpl5.2.pep.all.fa.gz	COMPLETE	
43346	Bison bison bison	43346	Bison bison bison	COMPLETE	NO	EnsemblMain	116	Bison_UMD1.0	bbbison_gene_ensembl	bbbison_gene_ensembl	bbbison_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/bison_bison_bison/dna/Bison_bison_bison.Bison_UMD1.0.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/bison_bison_bison/Bison_bison_bison.Bison_UMD1.0.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/bison_bison_bison/pep/Bison_bison_bison.Bison_UMD1.0.pep.all.fa.gz	COMPLETE	
6526	Biomphalaria glabrata	6526	Biomphalaria glabrata	COMPLETE	NO	EnsemblMetazoa	63	GCA947242115v1	bggca947242115v1rs_eg_gene	bggca947242115v1rs_eg_gene	bggca947242115v1rs_eg_gene	VERIFIED_EXISTING	https://ftp.ensemblgenomes.ebi.ac.uk/pub/metazoa/release-63/fasta/biomphalaria_glabrata_gca947242115v1rs/dna/Biomphalaria_glabrata_gca947242115v1rs.GCA947242115v1.dna.toplevel.fa.gz	https://ftp.ensemblgenomes.ebi.ac.uk/pub/metazoa/release-63/gtf/biomphalaria_glabrata_gca947242115v1rs/Biomphalaria_glabrata_gca947242115v1rs.GCA947242115v1.63.gtf.gz	https://ftp.ensemblgenomes.ebi.ac.uk/pub/metazoa/release-63/fasta/biomphalaria_glabrata_gca947242115v1rs/pep/Biomphalaria_glabrata_gca947242115v1rs.GCA947242115v1.pep.all.fa.gz	COMPLETE	
30521	Bos grunniens	30521	Bos grunniens	COMPLETE	NO	EnsemblMain	116	LU_Bosgru_v3.0	bgrunniens_gene_ensembl	bgrunniens_gene_ensembl	bgrunniens_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/bos_grunniens/dna/Bos_grunniens.LU_Bosgru_v3.0.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/bos_grunniens/Bos_grunniens.LU_Bosgru_v3.0.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/bos_grunniens/pep/Bos_grunniens.LU_Bosgru_v3.0.pep.all.fa.gz	COMPLETE	
30522	Bos indicus x Bos taurus	30522	Bos indicus x Bos taurus	COMPLETE	NO	EnsemblMain	116	UOA_Angus_1	bihybrid_gene_ensembl	bihybrid_gene_ensembl	bihybrid_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/bos_taurus_hybrid/dna/Bos_taurus_hybrid.UOA_Angus_1.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/bos_taurus_hybrid/Bos_taurus_hybrid.UOA_Angus_1.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/bos_taurus_hybrid/pep/Bos_taurus_hybrid.UOA_Angus_1.pep.all.fa.gz	COMPLETE	
72004	Bos mutus	72004	Bos mutus	COMPLETE	NO	EnsemblMain	116	BosGru_v2.0	bmutus_gene_ensembl	bmutus_gene_ensembl	bmutus_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/bos_mutus/dna/Bos_mutus.BosGru_v2.0.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/bos_mutus/Bos_mutus.BosGru_v2.0.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/bos_mutus/pep/Bos_mutus.BosGru_v2.0.pep.all.fa.gz	COMPLETE	
9913	Bos taurus	9913	Bos taurus	COMPLETE	NO	EnsemblMain	116	ARS-UCD2.0	btaurus_gene_ensembl	btaurus_gene_ensembl	btaurus_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/bos_taurus/dna/Bos_taurus.ARS-UCD2.0.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/bos_taurus/Bos_taurus.ARS-UCD2.0.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/bos_taurus/pep/Bos_taurus.ARS-UCD2.0.pep.all.fa.gz	COMPLETE	
6239	Caenorhabditis elegans	6239	Caenorhabditis elegans	COMPLETE	NO	EnsemblMain	116	WBcel235	celegans_gene_ensembl	celegans_gene_ensembl	celegans_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/caenorhabditis_elegans/dna/Caenorhabditis_elegans.WBcel235.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235.63.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/caenorhabditis_elegans/pep/Caenorhabditis_elegans.WBcel235.pep.all.fa.gz	COMPLETE	
198806	Calidris pugnax	198806	Calidris pugnax	COMPLETE	NO	EnsemblMain	116	ASM143184v1	cpugnax_gene_ensembl		cpugnax_gene_ensembl	UNVERIFIED_PRESERVED	https://ftp.ensembl.org/pub/release-116/fasta/calidris_pugnax/dna/Calidris_pugnax.ASM143184v1.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/calidris_pugnax/Calidris_pugnax.ASM143184v1.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/calidris_pugnax/pep/Calidris_pugnax.ASM143184v1.pep.all.fa.gz	COMPLETE	
9483	Callithrix jacchus	9483	Callithrix jacchus	COMPLETE	NO	EnsemblMain	116	mCalJac1.pat.X	cjacchus_gene_ensembl	cjacchus_gene_ensembl	cjacchus_gene_ensembl	VERIFIED_EXISTING	https://ftp.ensembl.org/pub/release-116/fasta/callithrix_jacchus/dna/Callithrix_jacchus.mCalJac1.pat.X.dna.toplevel.fa.gz	https://ftp.ensembl.org/pub/release-116/gtf/callithrix_jacchus/Callithrix_jacchus.mCalJac1.pat.X.116.gtf.gz	https://ftp.ensembl.org/pub/release-116/fasta/callithrix_jacchus/pep/Callithrix_jacchus.mCalJac1.pat.X.pep.all.fa.gz	COMPLETE	
